Date,Open,High,Low,Close,Adj Close,Volume
2018-05-08,26.059999,26.240000,25.629999,25.680000,23.442490,1293240
2018-05-09,25.790001,26.090000,25.790001,26.070000,23.798512,2349203
2018-05-10,26.180000,26.219999,25.990000,26.129999,23.853283,2471965
2018-05-11,26.160000,26.440001,26.070000,26.180000,23.898926,1143289
2018-05-14,26.150000,26.219999,25.870001,26.170000,23.980251,1704916
2018-05-15,26.150000,26.459999,26.139999,26.350000,24.145191,2687818
2018-05-16,26.299999,26.400000,26.110001,26.129999,23.943594,1276123
2018-05-17,26.160000,26.200001,26.040001,26.059999,23.879452,714986
2018-05-18,26.129999,26.320000,26.059999,26.280001,24.081045,844371
2018-05-22,26.219999,26.360001,26.150000,26.180000,23.989414,1135928
2018-05-23,26.120001,26.520000,26.090000,26.410000,24.200167,817213
2018-05-24,26.430000,26.590000,26.290001,26.379999,24.172678,932323
2018-05-25,26.389999,26.570000,26.389999,26.459999,24.245979,1051924
2018-05-28,26.500000,26.740000,26.209999,26.340000,24.136024,226730
2018-05-29,26.260000,26.459999,26.110001,26.120001,23.934431,611065
2018-05-30,26.120001,26.350000,26.049999,26.139999,23.952759,599085
2018-05-31,26.160000,26.209999,26.000000,26.100000,23.916107,2016558
2018-06-01,26.150000,26.200001,26.080000,26.129999,23.943594,448088
2018-06-04,26.120001,26.280001,26.049999,26.100000,23.916107,565747
2018-06-05,26.230000,26.370001,26.004999,26.170000,23.980251,691228
2018-06-06,26.280001,26.740000,26.280001,26.520000,24.300962,1849667
2018-06-07,26.590000,27.025000,26.559999,26.910000,24.658333,1621482
2018-06-08,26.930000,27.030001,26.870001,26.980000,24.722477,1003294
2018-06-11,27.020000,27.219999,27.000000,27.129999,24.859924,686372
2018-06-12,27.219999,27.559999,27.120001,27.540001,25.235619,849709
2018-06-13,27.600000,27.959999,27.559999,27.600000,25.290594,1065518
2018-06-14,27.620001,27.795000,27.570000,27.660000,25.436581,1095900
2018-06-15,27.639999,27.985001,27.639999,27.740000,25.510153,4199555
2018-06-18,27.740000,27.795000,27.600000,27.639999,25.418194,876263
2018-06-19,27.600000,27.750000,27.549999,27.570000,25.353815,705670
2018-06-20,27.650000,27.965000,27.540001,27.690001,25.464174,1903178
2018-06-21,27.680000,27.760000,27.430000,27.510000,25.298639,939075
2018-06-22,27.580000,27.830000,27.530001,27.780001,25.546936,743126
2018-06-25,27.780001,27.820000,27.530001,27.600000,25.381405,1637701
2018-06-26,27.700001,27.900000,27.389999,27.600000,25.381405,2343083
2018-06-27,27.700001,27.930000,27.690001,27.740000,25.510153,1715502
2018-06-28,27.850000,27.900000,26.410000,26.760000,24.608931,2430527
2018-06-29,27.100000,27.110001,26.299999,26.780001,24.627327,1804055
2018-07-03,27.000000,27.080000,26.559999,26.620001,24.480186,757669
2018-07-04,26.620001,26.879999,26.600000,26.610001,24.470989,279373
2018-07-05,26.700001,26.799999,26.450001,26.709999,24.562948,638484
2018-07-06,26.670000,27.205000,26.670000,27.150000,24.967577,556822
2018-07-09,27.150000,27.280001,26.959999,27.230000,25.041145,577762
2018-07-10,27.209999,27.469999,27.150000,27.360001,25.160700,1057122
2018-07-11,27.280001,27.500000,27.230000,27.360001,25.160700,960986
2018-07-12,27.240000,27.540001,27.190001,27.520000,25.399517,910072
2018-07-13,27.530001,27.559999,27.360001,27.520000,25.399517,576319
2018-07-16,27.500000,27.510000,27.309999,27.440001,25.325678,467951
2018-07-17,27.430000,27.450001,27.240000,27.360001,25.251839,690423
2018-07-18,27.379999,27.459999,26.860001,26.860001,24.790363,727112
2018-07-19,26.900000,27.129999,26.900000,26.990000,24.910349,2080513
2018-07-20,27.000000,27.049999,26.850000,26.950001,24.873430,707170
2018-07-23,26.910000,26.990000,26.639999,26.750000,24.688845,336510
2018-07-24,26.740000,26.870001,26.459999,26.459999,24.421188,653784
2018-07-25,26.450001,26.469999,26.225000,26.309999,24.282742,514334
2018-07-26,26.290001,26.440001,26.230000,26.240000,24.218140,658961
