Date,Open,High,Low,Adj Close,Volume
2020-10-23 20:00:00,4.68,4.68,4.68,4.68,1426
2020-10-23 19:30:00,4.66,4.66,4.66,4.66,500
2020-10-23 18:45:00,4.69,4.69,4.65,4.65,4610
2020-10-23 18:15:00,4.68,4.68,4.68,4.68,466
2020-10-23 18:00:00,4.7,4.7,4.69,4.69,1200
2020-10-23 17:45:00,4.7,4.7,4.69,4.69,1200
2020-10-23 17:30:00,4.68,4.7,4.68,4.69,29364
2020-10-23 17:15:00,4.7,4.7,4.69,4.69,2165
2020-10-23 17:00:00,4.7,4.7,4.68,4.69,1649
2020-10-23 16:45:00,4.69,4.69,4.69,4.69,231
2020-10-23 16:30:00,4.69,4.69,4.68,4.68,2631
2020-10-23 16:15:00,4.63,4.68,4.63,4.68,3204
2020-10-23 16:00:00,4.655,4.68,4.64,4.68,327244
2020-10-23 15:45:00,4.625,4.68,4.625,4.655,341603
2020-10-23 15:30:00,4.66,4.6687,4.6,4.625,519145
2020-10-23 15:15:00,4.655,4.675,4.65,4.6699,185996
2020-10-23 15:00:00,4.655,4.66,4.64,4.6581,87852
2020-10-23 14:45:00,4.6619,4.67,4.62,4.65,305166
2020-10-23 14:30:00,4.665,4.67,4.65,4.6675,131521
2020-10-23 14:15:00,4.6586,4.67,4.65,4.66,82794
2020-10-23 14:00:00,4.6551,4.685,4.65,4.6599,193118
2020-10-23 13:45:00,4.6799,4.7,4.65,4.655,141785
2020-10-23 13:30:00,4.685,4.7,4.67,4.675,104823
2020-10-23 13:15:00,4.7,4.73,4.68,4.6875,141959
2020-10-23 13:00:00,4.71,4.73,4.68,4.7,239051
2020-10-23 12:45:00,4.715,4.715,4.65,4.7051,461859
2020-10-23 12:30:00,4.735,4.74,4.69,4.7152,197992
2020-10-23 12:15:00,4.735,4.74,4.705,4.735,236702
2020-10-23 12:00:00,4.78,4.78,4.73,4.74,118628
2020-10-23 11:45:00,4.775,4.8,4.74,4.7702,178114
2020-10-23 11:30:00,4.84,4.84,4.75,4.775,222911
2020-10-23 11:15:00,4.74,4.86,4.73,4.835,580418
2020-10-23 11:00:00,4.74,4.76,4.725,4.74,155273
2020-10-23 10:45:00,4.7189,4.77,4.7114,4.74,244304
2020-10-23 10:30:00,4.77,4.77,4.681,4.72,419208
2020-10-23 10:15:00,4.765,4.785,4.72,4.7681,358167
2020-10-23 10:00:00,4.755,4.8099,4.74,4.76,269192
2020-10-23 09:45:00,4.88,4.9,4.705,4.755,750336
2020-10-23 09:30:00,4.91,4.92,4.85,4.89,15550
2020-10-23 09:15:00,4.91,4.9399,4.91,4.92,11063
2020-10-23 09:00:00,4.91,4.93,4.9,4.91,3963
2020-10-23 08:45:00,4.92,4.94,4.91,4.91,24171
2020-10-23 08:30:00,4.9001,4.92,4.9,4.92,8152
2020-10-23 08:15:00,4.761,4.9,4.761,4.8999,37209
2020-10-23 08:00:00,4.86,4.86,4.86,4.86,238
2020-10-23 07:45:00,4.85,4.85,4.85,4.85,375
2020-10-22 20:00:00,4.82,4.82,4.81,4.81,840
2020-10-22 19:45:00,4.8101,4.8101,4.8101,4.8101,1000
2020-10-22 19:30:00,4.83,4.83,4.83,4.83,101
2020-10-22 19:15:00,4.83,4.85,4.83,4.85,373
2020-10-22 19:00:00,4.82,4.83,4.81,4.81,1051
