Date,Open,High,Low,Adj Close,Volume
2020-11-20 20:00:00,8.76,8.76,8.74,8.76,21169
2020-11-20 19:45:00,8.76,8.76,8.74,8.75,2786
2020-11-20 19:30:00,8.75,8.75,8.75,8.75,3395
2020-11-20 19:15:00,8.75,8.76,8.74,8.75,19602
2020-11-20 19:00:00,8.74,8.75,8.74,8.75,8901
2020-11-20 18:45:00,8.75,8.75,8.74,8.74,4978
2020-11-20 18:30:00,8.75,8.75,8.74,8.74,6927
2020-11-20 18:15:00,8.75,8.75,8.74,8.75,5053
2020-11-20 18:00:00,8.745,8.75,8.74,8.75,5948
2020-11-20 17:45:00,8.75,8.75,8.745,8.745,6995
2020-11-20 17:30:00,8.75,8.75,8.74,8.745,3315
2020-11-20 17:15:00,8.7502,8.76,8.75,8.75,18706
2020-11-20 17:00:00,8.75,8.7598,8.745,8.75,23802
2020-11-20 16:45:00,8.745,8.75,8.74,8.745,460295
2020-11-20 16:30:00,8.74,8.75,8.7398,8.75,11124
2020-11-20 16:15:00,8.75,8.75,8.7302,8.74,640726
2020-11-20 16:00:00,8.75,8.77,8.74,8.75,6576759
2020-11-20 15:45:00,8.725,8.75,8.72,8.75,1830474
2020-11-20 15:30:00,8.715,8.73,8.705,8.72,1641293
2020-11-20 15:15:00,8.74,8.75,8.71,8.715,1625249
2020-11-20 15:00:00,8.725,8.74,8.72,8.74,895723
2020-11-20 14:45:00,8.725,8.75,8.72,8.725,988515
2020-11-20 14:30:00,8.735,8.74,8.72,8.72,938643
2020-11-20 14:15:00,8.725,8.74,8.72,8.735,1166172
2020-11-20 14:00:00,8.735,8.74,8.72,8.725,949637
2020-11-20 13:45:00,8.733,8.74,8.72,8.73,740956
2020-11-20 13:30:00,8.73,8.76,8.71,8.735,2921194
2020-11-20 13:15:00,8.7291,8.74,8.72,8.73,1175271
2020-11-20 13:00:00,8.715,8.74,8.71,8.7223,1204863
2020-11-20 12:45:00,8.715,8.72,8.7,8.715,1761224
2020-11-20 12:30:00,8.755,8.76,8.71,8.715,1685124
2020-11-20 12:15:00,8.755,8.77,8.74,8.7562,1406614
2020-11-20 12:00:00,8.755,8.76,8.72,8.755,1572826
2020-11-20 11:45:00,8.735,8.77,8.73,8.755,2450869
2020-11-20 11:30:00,8.715,8.75,8.71,8.7377,2187758
2020-11-20 11:15:00,8.705,8.74,8.7,8.715,2549384
2020-11-20 11:00:00,8.7284,8.73,8.68,8.7,3443494
2020-11-20 10:45:00,8.78,8.78,8.71,8.72,3886041
2020-11-20 10:30:00,8.775,8.79,8.76,8.775,1902768
2020-11-20 10:15:00,8.8,8.81,8.77,8.7728,1744318
2020-11-20 10:00:00,8.8001,8.82,8.76,8.8,1819444
2020-11-20 09:45:00,8.81,8.81,8.75,8.805,4452990
2020-11-20 09:30:00,8.8,8.83,8.8,8.81,69095
2020-11-20 09:15:00,8.82,8.82,8.8,8.8,29051
2020-11-20 09:00:00,8.84,8.84,8.81,8.81,37708
2020-11-20 08:45:00,8.86,8.86,8.8399,8.8399,33386
2020-11-20 08:30:00,8.8499,8.87,8.84,8.84,67606
2020-11-20 08:15:00,8.8301,8.85,8.82,8.84,90346
2020-11-20 08:00:00,8.84,8.84,8.83,8.84,1822
2020-11-20 07:45:00,8.83,8.83,8.83,8.83,3030
2020-11-20 07:30:00,8.84,8.85,8.83,8.83,32653
2020-11-20 07:15:00,8.83,8.86,8.8,8.82,14043
2020-11-20 07:00:00,8.86,8.86,8.83,8.83,550
2020-11-20 06:30:00,8.86,8.86,8.86,8.86,500
2020-11-20 06:15:00,8.82,8.82,8.82,8.82,400
2020-11-20 06:00:00,8.8,8.82,8.8,8.82,2825
2020-11-20 05:45:00,8.75,8.75,8.75,8.75,504
2020-11-20 05:30:00,8.76,8.76,8.76,8.76,496
2020-11-20 05:15:00,8.76,8.76,8.75,8.75,1600
2020-11-20 04:45:00,8.81,8.81,8.8,8.8,1272
2020-11-20 04:30:00,8.8,8.8,8.8,8.8,100
2020-11-20 04:15:00,8.73,8.75,8.73,8.75,329
2020-11-19 20:00:00,8.78,8.79,8.77,8.77,6784
2020-11-19 19:45:00,8.77,8.79,8.77,8.78,12986
2020-11-19 19:30:00,8.78,8.78,8.77,8.77,7030
2020-11-19 19:15:00,8.76,8.8,8.76,8.79,67250
