Date,Open,High,Low,Adj Close,Volume
2020-11-20 20:00:00,9.73,9.75,9.73,9.75,71058
2020-11-20 19:45:00,9.73,9.74,9.72,9.74,40514
2020-11-20 19:30:00,9.74,9.74,9.73,9.74,603
2020-11-20 19:15:00,9.73,9.74,9.73,9.74,11083
2020-11-20 19:00:00,9.73,9.74,9.7,9.72,57889
2020-11-20 18:45:00,9.73,9.74,9.73,9.74,17399
2020-11-20 18:30:00,9.72,9.74,9.72,9.73,11796
2020-11-20 18:15:00,9.74,9.74,9.73,9.73,10381
2020-11-20 18:00:00,9.735,9.745,9.73,9.73,35508
2020-11-20 17:45:00,9.745,9.745,9.71,9.73,98920
2020-11-20 17:30:00,9.75,9.75,9.745,9.745,10853
2020-11-20 17:15:00,9.74,9.75,9.735,9.75,17910
2020-11-20 17:00:00,9.74,9.75,9.73,9.735,34564
2020-11-20 16:45:00,9.745,9.75,9.74,9.74,35772
2020-11-20 16:30:00,9.75,9.75,9.73,9.745,29817
2020-11-20 16:15:00,9.76,9.76,9.73,9.75,704436
2020-11-20 16:00:00,9.73,9.76,9.72,9.76,8080325
2020-11-20 15:45:00,9.695,9.73,9.67,9.72,4008405
2020-11-20 15:30:00,9.68,9.7,9.67,9.695,1801164
2020-11-20 15:15:00,9.7,9.71,9.68,9.685,2310551
2020-11-20 15:00:00,9.69,9.71,9.68,9.7,1588482
2020-11-20 14:45:00,9.695,9.705,9.68,9.69,1725849
2020-11-20 14:30:00,9.6824,9.7,9.67,9.695,913957
2020-11-20 14:15:00,9.69,9.7,9.67,9.6829,1338605
2020-11-20 14:00:00,9.68,9.69,9.67,9.69,887900
2020-11-20 13:45:00,9.68,9.68,9.66,9.68,1491003
2020-11-20 13:30:00,9.665,9.69,9.66,9.68,3669863
2020-11-20 13:15:00,9.645,9.67,9.64,9.665,1329302
2020-11-20 13:00:00,9.6425,9.65,9.62,9.65,1726486
2020-11-20 12:45:00,9.655,9.66,9.6237,9.64,2074022
2020-11-20 12:30:00,9.68,9.68,9.65,9.6525,2347010
2020-11-20 12:15:00,9.65,9.69,9.63,9.6776,4048209
2020-11-20 12:00:00,9.645,9.66,9.61,9.645,2673883
2020-11-20 11:45:00,9.66,9.68,9.62,9.645,2780443
2020-11-20 11:30:00,9.685,9.7,9.65,9.655,3244643
2020-11-20 11:15:00,9.7101,9.72,9.68,9.6804,2905412
2020-11-20 11:00:00,9.75,9.75,9.695,9.715,2695809
2020-11-20 10:45:00,9.77,9.78,9.73,9.75,2477518
2020-11-20 10:30:00,9.75,9.78,9.72,9.77,2505255
2020-11-20 10:15:00,9.745,9.83,9.73,9.7524,4795012
2020-11-20 10:00:00,9.685,9.75,9.68,9.745,5576557
2020-11-20 09:45:00,9.64,9.7,9.592,9.6889,6719152
2020-11-20 09:30:00,9.66,9.67,9.65,9.65,101862
2020-11-20 09:15:00,9.66,9.67,9.62,9.65,200411
2020-11-20 09:00:00,9.6699,9.68,9.6699,9.67,63628
2020-11-20 08:45:00,9.6801,9.6801,9.66,9.66,66131
2020-11-20 08:30:00,9.71,9.71,9.67,9.68,72019
2020-11-20 08:15:00,9.74,9.76,9.7,9.71,289553
2020-11-20 08:00:00,9.73,9.73,9.71,9.72,49273
2020-11-20 07:45:00,9.72,9.74,9.72,9.72,104363
2020-11-20 07:30:00,9.74,9.74,9.72,9.72,34363
2020-11-20 07:15:00,9.76,9.76,9.7,9.74,55579
2020-11-20 07:00:00,9.71,9.77,9.71,9.76,1627
2020-11-20 06:45:00,9.67,9.71,9.67,9.69,2286
2020-11-20 06:30:00,9.67,9.67,9.67,9.67,300
2020-11-20 06:15:00,9.65,9.65,9.65,9.65,200
2020-11-20 06:00:00,9.65,9.65,9.65,9.65,1700
2020-11-20 05:30:00,9.7,9.7,9.7,9.7,1000
2020-11-20 05:15:00,9.73,9.73,9.59,9.71,8178
2020-11-20 05:00:00,9.67,9.7,9.67,9.67,10244
