Date,Open,High,Low,Adj Close,Volume
2020-11-20 20:00:00,490.72,490.98,490.4,490.6,31956
2020-11-20 19:45:00,490.33,490.66,490.12,490.66,9348
2020-11-20 19:30:00,490.05,490.28,490.01,490.18,5693
2020-11-20 19:15:00,490.1,490.18,490.0,490.05,7129
2020-11-20 19:00:00,490.01,490.15,489.62,490.04,12856
2020-11-20 18:45:00,489.98,490.18,489.9,490.15,24628
2020-11-20 18:30:00,489.81,489.95,489.77,489.95,7020
2020-11-20 18:15:00,489.55,489.98,489.36,489.92,13829
2020-11-20 18:00:00,489.84,502.13,489.01,489.6,15961
2020-11-20 17:45:00,490.08,490.12,489.5,489.78,18431
2020-11-20 17:30:00,490.09,490.09,490.0,490.08,12839
2020-11-20 17:15:00,490.02,490.09,489.85,490.05,14865
2020-11-20 17:00:00,489.96,490.1,489.96,490.05,15930
2020-11-20 16:45:00,490.1,490.15,489.96,489.96,25132
2020-11-20 16:30:00,490.1498,490.19,489.95,490.05,25175
2020-11-20 16:15:00,489.61,494.7615,489.52,490.1,505542
2020-11-20 16:00:00,490.39,491.22,489.06,489.44,2017341
2020-11-20 15:45:00,492.23,492.53,490.0,490.5,1113375
2020-11-20 15:30:00,492.01,492.49,490.35,492.15,860038
2020-11-20 15:15:00,493.985,494.62,491.85,492.0,716676
2020-11-20 15:00:00,492.5,494.5,492.19,493.9057,714382
2020-11-20 14:45:00,493.09,493.7,491.3201,492.469,640566
2020-11-20 14:30:00,491.0161,493.4,490.46,493.0628,602122
2020-11-20 14:15:00,491.708,491.9699,490.75,490.9997,472402
2020-11-20 14:00:00,492.5163,492.8128,491.0,491.78,470154
2020-11-20 13:45:00,492.9012,493.99,491.821,492.5,651863
2020-11-20 13:30:00,491.3898,493.12,490.7735,493.0,835861
2020-11-20 13:15:00,492.51,492.99,490.22,491.3122,576273
2020-11-20 13:00:00,491.82,492.99,490.66,492.2929,672513
2020-11-20 12:45:00,493.1326,494.0355,490.0,491.837,644292
2020-11-20 12:30:00,494.95,495.4247,492.29,493.1275,705629
2020-11-20 12:15:00,493.67,495.14,491.5,494.8754,845935
2020-11-20 12:00:00,490.77,494.34,490.57,493.809,1154899
2020-11-20 11:45:00,491.91,492.2268,489.15,490.77,2351345
2020-11-20 11:30:00,495.09,495.3773,491.65,491.78,1663327
2020-11-20 11:15:00,493.77,495.9697,493.63,495.1,1167310
2020-11-20 11:00:00,496.5778,497.3,493.74,493.74,1439841
2020-11-20 10:45:00,497.71,499.4516,495.8,496.485,1096185
2020-11-20 10:30:00,499.27,501.13,497.58,497.6016,1422322
2020-11-20 10:15:00,499.25,500.5,497.15,499.31,1407155
2020-11-20 10:00:00,500.19,502.5,496.5,499.0734,2675335
2020-11-20 09:45:00,497.99,501.0,493.2,500.2591,3679791
2020-11-20 09:30:00,499.22,499.75,497.51,498.0,74413
2020-11-20 09:15:00,498.5,499.5,498.19,499.0,56582
2020-11-20 09:00:00,498.15,498.8,497.7,498.3,43465
2020-11-20 08:45:00,498.0,498.9838,497.82,498.03,50333
2020-11-20 08:30:00,498.9564,498.98,497.37,498.0,69817
2020-11-20 08:15:00,499.7345,501.4435,498.1,498.75,149894
2020-11-20 08:00:00,499.88,500.75,499.67,500.01,27943
2020-11-20 07:45:00,499.5,500.73,499.35,500.25,34954
2020-11-20 07:30:00,499.0,501.39,498.36,498.97,67990
2020-11-20 07:15:00,497.58,499.89,497.43,498.8,84797
2020-11-20 07:00:00,495.94,497.9,495.94,497.84,3267
2020-11-20 06:45:00,495.8,496.01,495.25,495.25,4039
2020-11-20 06:30:00,496.23,496.3,495.7,495.7,3064
2020-11-20 06:15:00,497.37,497.37,496.0,496.0,2436
2020-11-20 06:00:00,497.37,497.37,497.37,497.37,576
2020-11-20 05:45:00,497.4,497.4,497.4,497.4,360
2020-11-20 05:30:00,497.04,497.04,496.7,497.0,1496
2020-11-20 05:15:00,497.0,497.0,497.0,497.0,392
2020-11-20 05:00:00,497.5,497.5,496.8,497.0,2905
2020-11-20 04:45:00,497.01,497.31,496.5,497.31,4569
2020-11-20 04:30:00,496.11,497.6,496.05,497.3,9316
2020-11-20 04:15:00,498.35,500.89,495.0,496.57,28269
2020-11-19 20:00:00,494.26,494.5,492.5,493.0,97270
2020-11-19 19:45:00,494.0,494.5,493.98,494.25,30619
2020-11-19 19:30:00,494.0,494.15,493.85,493.9,14561
2020-11-19 19:15:00,494.33,494.34,493.5,493.71,33182
2020-11-19 19:00:00,494.6,494.6,493.88,494.18,35014
2020-11-19 18:45:00,494.45,494.64,493.22,494.64,46626
2020-11-19 18:30:00,495.5,495.5,494.23,494.57,55113
2020-11-19 18:15:00,497.05,497.05,495.25,495.45,57330
2020-11-19 18:00:00,497.11,497.3,496.8,497.08,15249
2020-11-19 17:45:00,497.06,497.5,497.05,497.12,19475
2020-11-19 17:30:00,496.977,497.5,496.91,497.25,28423
2020-11-19 17:15:00,496.5,497.62,496.14,497.09,24488
2020-11-19 17:00:00,497.94,498.31,496.12,496.56,39981
