Date,Open,High,Low,Close,Adj Close,Volume
2018-05-08,176.350006,177.320007,173.830002,174.639999,164.665512,238100
2018-05-09,175.000000,175.949997,171.889999,175.369995,165.353790,276981
2018-05-10,172.259995,172.399994,163.199997,165.869995,156.396393,624925
2018-05-11,166.279999,166.279999,162.419998,162.470001,153.190598,409281
2018-05-14,163.149994,167.149994,162.300003,165.589996,156.132355,305314
2018-05-15,165.970001,166.220001,165.419998,165.539993,156.085205,231028
2018-05-16,166.000000,167.149994,165.649994,166.279999,156.782974,242261
2018-05-17,166.800003,168.729996,166.350006,167.479996,157.914429,249237
2018-05-18,167.800003,168.660004,167.600006,168.089996,158.489578,228660
2018-05-22,168.149994,168.250000,166.085007,166.330002,156.830109,169707
2018-05-23,166.330002,166.740005,165.820007,166.240005,156.745255,121370
2018-05-24,166.360001,167.850006,165.600006,166.139999,156.650955,159327
2018-05-25,165.919998,167.490005,165.740005,166.169998,156.679260,130693
2018-05-28,165.839996,167.179993,165.399994,165.789993,156.320969,72543
2018-05-29,164.869995,166.070007,162.580002,163.100006,153.784592,270905
2018-05-30,163.520004,165.500000,161.429993,164.779999,155.368652,204246
2018-05-31,164.529999,165.270004,162.190002,165.080002,155.651505,260217
2018-06-01,165.029999,166.160004,164.000000,164.419998,155.029190,157598
2018-06-04,164.199997,166.600006,164.199997,166.500000,156.990417,168574
2018-06-05,166.320007,167.830002,165.449997,166.070007,156.584961,231756
2018-06-06,166.179993,168.679993,165.690002,168.199997,158.593307,203181
2018-06-07,168.500000,169.630005,166.139999,167.100006,157.556152,174592
2018-06-08,167.190002,168.380005,165.649994,166.279999,156.782974,245412
2018-06-11,166.380005,170.139999,166.380005,168.789993,159.149597,164310
2018-06-12,169.139999,172.339996,168.720001,171.619995,161.817993,188942
2018-06-13,171.750000,172.690002,170.339996,171.389999,161.601105,140377
2018-06-14,171.570007,173.210007,170.550003,173.080002,163.194611,148678
2018-06-15,172.880005,176.000000,172.619995,175.039993,165.042618,472688
2018-06-18,175.009995,176.960007,174.770004,176.229996,166.164673,179998
2018-06-19,175.639999,175.639999,172.750000,173.970001,164.033752,222253
2018-06-20,174.190002,176.399994,173.509995,175.789993,165.749802,207182
2018-06-21,175.789993,175.789993,173.050003,173.389999,163.486893,178401
2018-06-22,174.039993,174.600006,172.460007,173.940002,164.005493,90713
2018-06-25,173.919998,173.919998,170.669998,170.899994,161.139084,189472
2018-06-26,171.360001,173.259995,170.179993,171.589996,161.789688,194697
2018-06-27,172.039993,173.509995,171.250000,171.389999,161.601105,106314
2018-06-28,171.389999,172.580002,169.699997,172.339996,162.496841,132869
2018-06-29,172.330002,172.759995,171.199997,171.600006,161.799133,157795
2018-07-03,171.600006,172.009995,169.050003,170.880005,161.120255,139281
2018-07-04,170.960007,171.960007,169.949997,171.149994,161.374817,35956
2018-07-05,171.119995,172.000000,170.190002,170.929993,161.167389,77211
2018-07-06,170.899994,172.949997,170.339996,172.880005,163.005997,83914
2018-07-09,173.000000,174.949997,171.529999,173.740005,163.816910,121801
2018-07-10,174.110001,174.710007,172.630005,174.000000,164.062027,257228
2018-07-11,173.500000,174.539993,172.824997,173.050003,163.166290,156819
2018-07-12,173.440002,174.190002,173.119995,173.720001,163.798035,138234
2018-07-13,173.720001,174.080002,173.300003,174.000000,164.062027,107639
2018-07-16,174.009995,174.039993,173.190002,173.750000,163.826309,112234
2018-07-17,173.649994,173.750000,172.289993,173.679993,163.760315,126328
2018-07-18,173.750000,173.750000,172.669998,173.259995,163.364288,109227
2018-07-19,172.869995,173.720001,172.830002,173.479996,163.571732,109722
2018-07-20,173.059998,175.000000,173.020004,174.789993,164.806915,152530
2018-07-23,174.889999,177.360001,174.889999,176.740005,166.645554,133971
2018-07-24,176.600006,178.500000,175.910004,176.610001,166.522980,127540
2018-07-25,176.369995,177.270004,175.610001,176.369995,166.296677,102397
2018-07-26,175.860001,178.309998,175.750000,176.820007,166.720978,89451
2018-07-27,176.600006,177.110001,174.660004,175.500000,165.476379,108246
2018-07-30,174.820007,176.410004,174.720001,175.250000,166.092407,120701
2018-07-31,175.630005,177.809998,174.960007,177.169998,167.912094,313819
2018-08-01,177.309998,178.690002,176.000000,177.940002,168.641846,139593
2018-08-02,178.000000,178.119995,177.000000,177.429993,168.158478,143482
2018-08-03,177.330002,179.259995,175.660004,179.020004,169.665421,148965
2018-08-07,179.899994,181.000000,176.270004,176.800003,167.561417,240172
